Street Pair,Distance (km),Time (minutes),Weight
 Berryessa Rd - Meadowgate Way,4.303290417744041,3.2274678133080306,1.6976480698000241e-06
 Berryessa Rd - Meridian Ave,7.539087985257973,5.6543159889434795,5.158997908312031e-05
 Berryessa Rd - Montague Expy,6.087853759389986,4.56589031954249,4.512925991835797e-05
 Berryessa Rd - Monterey Rd,14.872629248498807,11.154471936374106,1.9520325888654684e-06
 Berryessa Rd - Moorpark Ave,10.343665840806535,7.757749380604901,1.497245630456746e-05
 Berryessa Rd - Morse St,6.339051003310563,4.754288252482922,5.838265974049028e-06
 Berryessa Rd - Muirfield Dr,3.4351318255500614,2.576348869162546,1.3551595051794991e-06
 Berryessa Rd - N 10th St,2.914080789093424,2.185560591820068,2.301395303186531e-06
 Berryessa Rd - N 1st St,7.189185062959275,5.3918887972194565,4.06818009750208e-05
 Berryessa Rd - N 4th St,4.32846412299045,3.2463480922428376,1.1394681803772361e-06
 Berryessa Rd - N 5th St,3.4590792849133116,2.5943094636849837,1.8212052435068587e-06
 Berryessa Rd - N Bascom Ave,7.387344196632846,5.540508147474634,4.957646690360303e-05
 Berryessa Rd - N Capitol Ave,3.03933619545519,2.2795021465913927,8.001052534535789e-07
 Berryessa Rd - N Jackson Ave,2.6341768379900126,1.9756326284925094,1.3868941052017416e-06
 Berryessa Rd - N Monroe St,7.960239232358432,5.9701794242688235,3.140314377165401e-06
 Berryessa Rd - Narvaez Ave,11.320691984260563,8.490518988195422,1.4858408229341989e-06
 Berryessa Rd - Norman Y Mineta Hwy,17.14115354108835,12.855865155816263,3.0069868599454237e-05
 Berryessa Rd - Norwalk Dr,11.289264628996772,8.466948471747578,1.7822926533028655e-05
 Berryessa Rd - O'Connor Dr,8.081784184077787,6.06133813805834,5.315793547077164e-06
 Berryessa Rd - Old Bayshore Hwy,3.792922154619035,2.844691615964276,6.986562608808262e-06
 Berryessa Rd - Pamela Ave,2.5050858823573625,1.8788144117680219,9.882563805899795e-07
 Berryessa Rd - Park Ave,6.53559047864529,4.901692858983967,8.577962503221942e-07
 Berryessa Rd - Parkmoor Ave,8.302582945171354,6.226937208878516,1.5293357785005633e-05
 Berryessa Rd - Paula Ct,7.718472630313373,5.78885447273503,2.031887919929996e-06
 Berryessa Rd - Peachwood Dr,2.531131830654994,1.8983488729912454,3.3221105277346796e-07
 Berryessa Rd - Race St,7.032902831028123,5.274677123271092,9.23068496572441e-07
 Berryessa Rd - Ridgetree Way,2.5576135393031767,1.9182101544773826,1.0089785412551032e-06
